,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind
0,georgetown,MY,5.4112,100.3354,86.9,78,40,1.01
1,amapa,BR,1.0,-52.0,70.21,97,64,2.21
2,vaini,TO,-21.2,-175.2,77.16,78,75,12.66
3,ushuaia,AR,-54.8,-68.3,33.46,93,75,4.61
4,hobart,AU,-42.8794,147.3294,61.27,56,75,1.99
5,platanos,GR,37.6667,21.6167,80.71,41,0,4.38
6,port alfred,ZA,-33.5906,26.891,61.45,31,30,11.21
7,rikitea,PF,-23.1203,-134.9692,74.98,81,98,18.41
8,saint george,US,37.1041,-113.5841,78.53,83,1,3.44
9,usinsk,RU,65.9939,57.5281,42.69,89,100,12.19
10,new norfolk,AU,-42.7826,147.0587,60.93,58,58,4.0
11,les cayes,HT,18.2,-73.75,79.45,80,100,4.97
12,jamestown,US,42.097,-79.2353,69.39,77,1,4.23
13,yerbogachen,RU,61.2767,108.0108,85.05,38,4,8.16
14,airai,TL,-8.9266,125.4092,76.66,27,72,5.3
15,casino,AU,-28.8667,153.05,71.55,35,0,6.91
16,thompson,CA,55.7435,-97.8558,57.36,72,20,0.0
17,namatanai,PG,-3.6667,152.4333,84.7,67,23,5.46
18,bilma,NE,18.6853,12.9164,89.85,41,95,6.58
19,clyde river,CA,70.4692,-68.5914,35.83,100,75,3.44
20,provideniya,RU,64.3833,-173.3,50.11,81,90,11.18
21,narsaq,GL,60.9167,-46.05,49.68,81,82,6.49
22,hermanus,ZA,-34.4187,19.2345,53.91,65,2,11.01
23,bluff,NZ,-46.6,168.3333,52.81,71,22,21.34
24,ovalle,CL,-30.5983,-71.2003,52.12,75,0,2.04
25,antu,IN,26.05,81.9167,85.19,77,100,5.08
26,tocopilla,CL,-22.092,-70.1979,59.5,75,11,7.56
27,asau,RO,46.4333,26.4,67.95,79,77,4.79
28,monrovia,LR,6.3005,-10.7969,75.61,87,100,13.51
29,tateyama,JP,34.9833,139.8667,80.62,86,100,17.38
30,mehamn,NO,71.0357,27.8492,40.95,93,0,2.3
31,punta arenas,CL,-53.15,-70.9167,39.31,87,75,6.91
32,narrabri,AU,-30.3167,149.7833,66.52,39,10,12.66
33,mataura,NZ,-46.1927,168.8643,52.48,70,13,4.74
34,torbay,CA,47.6666,-52.7314,56.57,93,1,6.91
35,busselton,AU,-33.65,115.3333,57.04,57,96,25.19
36,pevek,RU,69.7008,170.3133,36.46,88,86,18.61
37,cabo san lucas,MX,22.8909,-109.9124,89.51,73,1,8.01
38,longyearbyen,SJ,78.2186,15.6401,42.64,93,90,1.14
39,sao joao da barra,BR,-21.6403,-41.0511,69.15,86,0,13.29
40,kodiak,US,57.79,-152.4072,62.11,55,75,5.75
41,ketchikan,US,55.3422,-131.6461,57.67,94,90,9.22
42,chokurdakh,RU,70.6333,147.9167,45.05,63,100,13.29
43,saint-joseph,RE,-21.3667,55.6167,64.78,82,42,11.36
44,biak,ID,-0.9131,122.8766,81.55,63,61,9.35
45,barahona,DO,18.2085,-71.1008,80.35,81,100,2.62
46,east london,ZA,-33.0153,27.9116,58.14,35,0,5.75
47,barrow,US,71.2906,-156.7887,48.22,87,90,8.05
48,upernavik,GL,72.7868,-56.1549,46.18,90,100,9.42
49,najran,SA,17.4924,44.1277,79.45,36,75,4.97
50,cape town,ZA,-33.9258,18.4232,56.88,85,20,3.0
51,albany,US,42.6001,-73.9662,69.93,83,0,4.12
52,hilo,US,19.7297,-155.09,78.53,86,90,11.5
53,tasiilaq,GL,65.6145,-37.6368,35.08,89,27,5.61
54,makakilo city,US,21.3469,-158.0858,84.52,59,75,12.66
55,mar del plata,AR,-38.0023,-57.5575,39.22,57,40,10.0
56,fare,PF,-16.7,-151.0167,78.22,76,29,9.28
57,moose factory,CA,51.2585,-80.6094,57.18,67,90,5.75
58,borazjan,IR,29.2666,51.2159,90.73,12,29,6.02
59,atuona,PF,-9.8,-139.0333,77.47,75,36,21.59
60,puerto ayora,EC,-0.7393,-90.3518,71.55,87,43,7.0
61,avarua,CK,-21.2078,-159.775,77.05,78,75,5.75
62,dahuk,IQ,36.8695,42.994,87.6,16,0,5.75
63,lakota,CI,5.8528,-5.6883,69.78,94,94,3.58
64,estepona,ES,36.4276,-5.1459,75.11,81,0,7.92
65,hagere hiywet,ET,8.9833,37.85,55.49,98,100,0.76
66,victoria,HK,22.2855,114.1577,94.96,77,99,7.0
67,ponta do sol,PT,32.6667,-17.1,72.72,70,1,4.83
68,ostrovnoy,RU,68.0531,39.5131,46.08,85,100,22.35
69,khatanga,RU,71.9667,102.5,72.72,52,99,18.72
70,ribeira grande,PT,38.5167,-28.7,71.11,88,95,9.08
71,fort-shevchenko,KZ,44.5086,50.263,77.92,45,100,26.82
72,hasaki,JP,35.7333,140.8333,81.28,74,23,19.95
73,butaritari,KI,3.0707,172.7902,82.44,74,41,5.88
74,souillac,MU,-20.5167,57.5167,70.18,83,40,11.5
75,jalu,LY,29.0331,21.5482,78.48,44,0,6.11
76,lorengau,PG,-2.0226,147.2712,82.92,76,83,3.74
77,comodoro rivadavia,AR,-45.8667,-67.5,44.46,61,75,12.66
78,hay river,CA,60.8156,-115.7999,64.38,72,75,4.61
79,kuusamo,FI,65.9667,29.1833,50.04,93,0,1.14
80,andros town,BS,24.7,-77.7667,78.76,73,56,12.06
81,tuktoyaktuk,CA,69.4541,-133.0374,50.0,76,75,9.22
82,bambous virieux,MU,-20.3428,57.7575,70.05,83,40,11.5
83,sao filipe,CV,14.8961,-24.4956,74.77,86,25,8.84
84,uyuni,BO,-20.4597,-66.825,36.45,38,0,12.71
85,bathsheba,BB,13.2167,-59.5167,81.21,78,20,12.66
86,kozan,TR,37.4552,35.8157,77.38,55,0,5.5
87,hithadhoo,MV,-0.6,73.0833,81.21,73,100,5.21
88,pembroke,CA,45.8168,-77.1162,66.18,75,67,3.69
89,gambo,CF,4.6482,22.2633,68.32,99,100,3.6
90,anori,BR,-3.7728,-61.6442,75.51,75,96,2.17
91,tiksi,RU,71.6872,128.8694,37.87,89,81,9.64
92,de aar,ZA,-30.6497,24.0123,39.18,53,48,7.87
93,ampanihy,MG,-24.7,44.75,59.34,76,12,13.02
94,coquimbo,CL,-29.9533,-71.3436,51.53,87,0,6.91
95,kahului,US,20.8947,-156.47,83.46,77,40,25.32
96,awjilah,LY,29.1081,21.2869,78.1,46,0,5.08
97,rio grande,BR,-32.035,-52.0986,49.95,85,100,16.69
98,fairbanks,US,64.8378,-147.7164,69.8,51,75,9.22
99,lisakovsk,KZ,52.5369,62.4936,62.42,48,10,4.92
100,moranbah,AU,-22.0016,148.0466,73.9,29,1,10.16
101,khandyga,RU,62.6667,135.6,78.51,40,69,6.44
102,barstow,US,34.8986,-117.0228,85.55,36,9,3.22
103,qujing,CN,25.4833,103.7833,72.84,69,8,1.52
104,dingle,PH,10.9995,122.6711,88.66,62,45,18.1
105,faya,SA,18.3851,42.4509,64.51,73,81,3.31
106,qaanaaq,GL,77.484,-69.3632,42.21,87,100,9.37
107,hryshkivtsi,UA,49.9353,28.6038,63.64,67,67,8.5
108,saskylakh,RU,71.9167,114.0833,60.67,58,98,9.08
109,mandan,US,46.8267,-100.8896,87.78,51,20,3.0
110,deputatskiy,RU,69.3,139.9,50.59,57,94,5.64
111,arenal,CO,8.4593,-73.9433,74.1,98,100,2.35
112,mgandu,TZ,-5.95,34.1333,50.02,67,6,7.65
113,berlevag,NO,70.8578,29.0864,41.0,81,43,4.16
114,saint-philippe,RE,-21.3585,55.7679,65.79,84,83,9.15
115,laguna beach,US,33.5423,-117.7831,78.01,85,90,5.99
116,santa isabel do rio negro,BR,-0.4139,-65.0192,74.12,89,100,2.55
117,belen,TR,36.4891,36.2233,73.54,74,0,11.5
118,udachnyy,RU,66.4167,112.4,85.96,34,49,6.51
119,dikson,RU,73.5069,80.5464,38.7,99,100,8.95
120,biratnagar,NP,26.4831,87.2834,85.03,76,100,3.44
121,maldonado,UY,-34.6667,-54.9167,50.23,89,13,5.01
122,myre,NO,69.1036,15.9492,57.42,96,94,9.22
123,guatire,VE,10.4762,-66.5427,78.21,98,82,2.46
124,wangqing,CN,43.3218,129.7634,92.21,41,35,2.26
125,nishihara,JP,26.1842,127.7558,87.46,90,90,17.27
126,fortuna,US,40.5982,-124.1573,56.08,92,90,1.01
127,ulladulla,AU,-35.35,150.4667,69.87,43,1,12.57
128,kibaha,TZ,-6.7667,38.9167,62.71,88,1,5.06
129,lengshuijiang,CN,27.6881,111.4294,90.34,54,3,6.02
